             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
            159709     small bulk-nvt vikass_t PD       0:00     10 (QOSGrpJobsLimit)
            159712     small m-pg-nvt vikass_t PD       0:00     10 (QOSGrpJobsLimit)
            160184     small   deepak deepak.i PD       0:00      4 (QOSGrpJobsLimit)
            160185     small   deepak deepak.i PD       0:00      4 (QOSGrpJobsLimit)
            160182     small   deepak deepak.i PD       0:00      3 (QOSGrpJobsLimit)
            160183     small   deepak deepak.i PD       0:00      3 (QOSGrpJobsLimit)
            160108     small   hse_ts saumyar_ PD       0:00      5 (QOSGrpJobsLimit)
            160154     small FHI-aims shweta_c PD       0:00      5 (QOSGrpJobsLimit)
            138635     small sentpiec vinay_p. PD       0:00      1 (BadConstraints)
            159053     small  0pt5.sh chandrak  R 2-20:59:58      4 cn[020-023]
            160059     small   0p4.sh chandrak  R   12:53:20      4 hm[023-026]
            160210     small    Test2 skumar11  R      16:46      4 cn[195-198]
            160209     small    Test2 skumar11  R    3:55:16      4 cn[102-105]
            160078     small        I akansh1.  R    6:30:59      4 cn[138-141]
            160080     small        I akansh1.  R    6:18:38      4 cn[178-181]
            159276     small     test ayush_p.  R 2-14:28:20      5 cn[101,118,160-162]
            159279     small     test ayush_p.  R 2-14:22:23      5 cn[038-039,051,066-067]
            159487     small  FHIaims jyoti_b_  R 1-23:54:13      3 cn[029-031]
            159489     small  FHIaims jyoti_b_  R 1-21:59:49      3 cn[016-018]
            160119     small K_KACKER k_kacker  R    4:36:46     11 cn[174-184]
            160041     small   90SAF3 arshid_l  R   16:01:06      6 cn[156-158,173],hm[027-028]
            160040     small   90BIAS arshid_l  R   16:08:35      6 cn[106,159,213-216]
            159684     small        I dgupta.i  R 1-02:45:21      4 cn[132-135]
            159685     small        I dgupta.i  R 1-02:45:19      4 cn[069-072]
            159767     small 975d13a7 dgupta.i  R 1-02:03:58      3 cn[008-010]
            159506     small T1.000_1 shiladit  R 1-16:31:43      6 cn[130,136-137],hm[029-031]
            159518     small T0.700_2 avinash_  R 1-10:10:49      6 cn217,hm[032,035-036,039,049]
            159694     small        I s_gupta1  R   23:14:06      4 cn[073-076]
            159513     small T0.700_1 avinash_  R 1-13:48:05      6 hm[018-022,034]
            159936     small        I s_gupta1  R   15:53:27      4 cn[148-150],hm075
            160060     small      dos neha_s.i  R   10:29:41     10 cn[129,169-172,205-207],hm[055,064]
            159643     small    nebpo pkumar14  R 1-07:22:29      4 cn[152-155]
            159362     small AgFeOsym nkushwah  R 2-07:56:00      4 cn[124-127]
            160074     small        I s_gupta1  R    6:16:44      4 cn[165-166,182-183]
            160072     small        I s_gupta1  R    6:50:47      4 cn[128,143],hm[071-072]
            159649     small ER3mm50m vishal_k  R   15:08:51      4 cn[082-083,167-168]
            159823     small    nebpo vimal.sr  R   17:21:37      4 cn[033-036]
            159361     small Ag2O-Al2 nkushwah  R 2-11:46:30      4 cn[107-110]
            159490     small   deepak deepak.i  R   18:56:14      4 cn[042,055,146-147]
            159317     small vasp_nvt saumyar_  R   23:00:30     10 cn[190-194,208-212]
            159648     small ER5mm150 vishal_k  R   17:18:55      4 cn[174-177]
            159360     small AgFeAsym vimal.sr  R 2-03:45:33      4 cn[052-054,187]
            159453     small b_m_hse( saumyar_  R    8:52:51      3 hm[013-015]
            160037     small ER5mm100 vishal_k  R    8:48:16      4 hm[001-003,065]
            159401     small ER5mm50m rprakash  R 2-03:38:53      4 cn[111,184-186]
            159400     small ER5mm50m rprakash  R 2-03:43:11      4 cn[123,188-189,204]
            159633     small nvt1-bul vikass_t  R    8:26:47      8 cn[112-117,163-164]
            159704     small  vasp_md saumyar_  R    8:05:41      5 cn[098-100,120-121]
            159698     small FHI-aims shweta_c  R    7:56:00      5 cn[078-081,122]
